Instructor,Instructor _Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Lee, Sunghwan",Associate Professor,School of Engineering Tech,"[('MET', 21100), ('MET', 21100)]",2,8,91,91
"Leon-Salas, Walter Daniel",Associate Professor,School of Engineering Tech,"[('ECET', 33900), ('ECET', 34900)]",2,6,112,105
"Lercel, Damon J.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 40900), ('AT', 44502)]",2,6,27,30
"Levitt, Stephen J.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 41600)]",1,2,54,60
"Li, Tianyi",Assistant Professor,Computer Information Tech,"[('CNIT', 37200), ('CNIT', 58100)]",2,6,63,80
"Li, Xingyu",Assistant Professor,School of Engineering Tech,"[('MFET', 36100), ('MFET', 44000)]",2,6,44,48
"Lima, Vinicius d.",Student,Computer Graphics Technology,"[('CGT', 27000), ('CGT', 27000)]",2,6,108,145
"Linvill, Jennifer S.",Assistant Professor,Technology Ldrshp & Innovatn,"[('OLS', 34600)]",1,3,45,49
"Little, Stacey E.",Limited Term Lecturer,Technology Ldrshp & Innovatn,"[('TLI', 31500)]",1,3,71,110
"Lu, Chien-Tsung",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 41200), ('AT', 48100), ('AT', 67500)]",3,9,146,165
"Lu, Xiaonan",Associate Professor,School of Engineering Tech,"[('ECET', 33300), ('ECET', 58100)]",2,6,10,14
"Lucietto, Anne M.",Associate Professor,School of Engineering Tech,"[('MET', 31300), ('MET', 42200)]",2,6,63,120
"Magana Deleon, Alejandra J.",WC Furnas Professor in Enterprise Excellence. Computer and Information Technology and Professor in Engineering Education,Computer Information Tech,"[('CNIT', 28000), ('CNIT', 62300)]",2,6,110,115
"Maldonado-Ruiz, Allison M.",Associate Director of Retention and Diversity,Purdue Polytechnic Inst Admin,"[('TECH', 10000)]",1,1,20,45
"Maley, James G.",Assistant Professor of Practice,School of Engineering Tech,"[('IET', 23500), ('IET', 33100)]",2,6,33,40
"Manuel, Joseph R.",Assistant Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 15000), ('CM', 37600), ('CM', 45000)]",3,15,175,198
"Mao, Huachao",Assistant Professor,School of Engineering Tech,"[('MFET', 25000)]",1,3,4,20
"Marete, Caroline K.",Visiting Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 25200), ('AT', 25200), ('AT', 36201)]",3,9,167,225
"Martani, Claudio",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 30001), ('CM', 33200)]",2,9,108,114
"Martinez, Benito A.",Assistant Director of Diversity and Retention,Purdue Polytechnic Inst Admin,"[('TECH', 10000)]",1,1,20,45
"Matson, Eric T.",Professor,Computer Information Tech,"[('CNIT', 32500)]",1,3,18,40
"Mcgraw, Tim E.",Associate Professor,Computer Graphics Technology,"[('CGT', 21500), ('CGT', 27001), ('CGT', 37700), ('CGT', 52000)]",4,10,83,129
"Mckenna, Joseph W.",Professor of Aerospace Studies ,Aerospace Studies,"[('AFT', 47100), ('AFT', 47100)]",2,6,45,64
"Mcpherson, Paul B.",Associate Professor of Practice,School of Engineering Tech,"[('MET', 30200), ('MET', 45200)]",2,6,24,53
"Meoli, Michael T.",Operations Flight Commander,Aerospace Studies,"[('AFT', 35100), ('AFT', 35100)]",2,6,42,60
"Merchant, Jason L.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 11000), ('CM', 15000), ('CM', 20001), ('CM', 35000)]",4,22,290,363
"Meredith, Tyler J.",Assistant Professor of Military Science,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100)]",3,6,39,75
"Merrick, David D.",Lecturer,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48000), ('ENGT', 48100)]",3,9,239,275
"Meyer, Corben D.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 26200), ('AT', 30802)]",2,7,37,45
"Min, Byung-Cheol",Associate Professor and University Faculty Scholar,Computer Information Tech,"[('CNIT', 35500), ('CNIT', 58100)]",2,6,30,51
"Mitchell, George G.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 11600), ('AT', 11600), ('AT', 20700)]",3,9,108,110
"Morales, Carlos R.",Associate Professor,Computer Graphics Technology,"[('CGT', 14100), ('CGT', 14700), ('CGT', 41101)]",3,8,409,512
"Morris, Zachary L.",Professor of Naval Science,Naval Science,"[('NS', 11000), ('NS', 11000)]",2,6,33,96
"Mousas, Christos",Associate Professor,Computer Graphics Technology,"[('CGT', 39000), ('CGT', 51500)]",2,6,43,50
"Munguia, Antonia","Director of Recruitment, Retention, and Diversity",Purdue Polytechnic Inst Admin,"[('TECH', 10100)]",1,1,72,85
"Munguia, Ralph",Continuing Lecturer,School of Engineering Tech,"[('ENGT', 48000), ('ENGT', 48000), ('ENGT', 48100)]",3,9,239,275
"Nadig Anantha, Deepak",Assistant Professor,Computer Information Tech,"[('CNIT', 48101), ('CNIT', 62300)]",2,6,26,40
"Nanda, Gaurav",Assistant Professor,School of Engineering Tech,"[('IET', 23500), ('IET', 43530)]",2,6,72,76
"Nawrocki, Robert A.",Assistant Professor,School of Engineering Tech,"[('ECET', 22700)]",1,3,88,90
"Nelson, Christopher M.",Commanding Officer Navy ROTC,Naval Science,"[('NS', 41300)]",1,3,9,13
"Newell, Brittany A.",Associate Professor,School of Engineering Tech,"[('ENGT', 18200), ('ENGT', 18200), ('ENGT', 18200)]",3,12,341,360
"Newton, Kathryne A.",Professor and Interim Associate Dean for Research,Purdue Polytechnic Inst Admin,"[('TECH', 60100)]",1,1,25,50
"Newton, Kathryne A.",Professor and Interim Associate Dean for Research,School of Engineering Tech,"[('IET', 41400)]",1,3,20,45
"Obrien, Kathy M.",Administrative Assistant,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Ostanek, Jason K.",Assistant Professor,School of Engineering Tech,"[('MET', 42600)]",1,3,25,27
"Pandya, Rushikumar S.",Student,School of Engineering Tech,"[('IET', 31300)]",1,3,68,70
"Panigrahi, Suranjan",Professor,School of Engineering Tech,"[('ECET', 36900), ('ECET', 58100)]",2,6,47,54
"Pant, Rohan",Student,Computer Graphics Technology,"[('CGT', 35300), ('CGT', 35600)]",2,6,53,90
"Park, Cho Hyun",Assistant Professor,Technology Ldrshp & Innovatn,"[('TLI', 25500), ('TLI', 35570)]",2,6,52,90
"Park, Christopher J.",Unk,Computer Information Tech,"[('CNIT', 15501)]",1,3,120,126
"Parker, Thomas G.",Assistant Professor of Practice,Technology Ldrshp & Innovatn,"[('TLI', 31400)]",1,3,3,0
"Patankar, Sanjeevani M.",Student,Computer Graphics Technology,"[('CGT', 12300), ('CGT', 12300), ('CGT', 32101), ('CGT', 32101)]",4,12,105,110
"Plain, Craig D.",Professor,Technology Ldrshp & Innovatn,"[('TLI', 35510), ('TLI', 45560)]",2,6,20,70
"Plaskoff, Joshua A.",Senior Lecturer,Technology Ldrshp & Innovatn,"[('TLI', 11200), ('TLI', 11200)]",2,6,407,410
"Pradhan, Romila",Assistant Professor,Computer Information Tech,"[('CNIT', 48700), ('CNIT', 58100)]",2,6,13,40
"Pruim, Douglas E.",Clinical Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 34000)]",1,3,32,40
"Pruim, Douglas E.",Clinical Assistant Professor,Technology Ldrshp & Innovatn,"[('TLI', 46000)]",1,3,1,40
"Qureshi, Ahmed H.",Assistant Professor,School of Engineering Tech,"[('ECET', 58100)]",1,0,3,32
"Rakita, Milan",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 24500)]",1,3,91,108
"Ramaswamy, Rohit",Student,Computer Information Tech,"[('CNIT', 10500)]",1,3,246,290
"Rapp, Randy R.","Purdue SCMT Named Professor of Disaster Restoration and Reconstruction, Associate Professor ",Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 25000)]",2,12,216,255
"Rastgaar, Mo",Professor,School of Engineering Tech,"[('MET', 21300)]",1,3,104,108
"Rawles, Phillip T.",Associate Professor,Computer Information Tech,"[('CNIT', 45500)]",1,3,151,168
"Rayz, Julia M.",Professor and Associate Department Head,Computer Information Tech,"[('CNIT', 31500), ('CNIT', 51900), ('CNIT', 62300)]",3,7,110,130
"Renkert, Sarah R.",Assistant Professor of Practice,Purdue Polytechnic Inst Admin,"[('TECH', 22000), ('TECH', 22000)]",1,6,48,80
"Renkert, Sarah R.",Assistant Professor of Practice,Technology Ldrshp & Innovatn,"[('TLI', 36700), ('TLI', 36700)]",1,6,6,80
"Richards, Grant P.",Assistant Professor of Practice,School of Engineering Tech,"[('MFET', 23000), ('MET', 28400), ('ECET', 30201)]",3,9,134,320
"Richardson, Jeffrey J.",Assistant Professor of Practice,School of Engineering Tech,"[('ECET', 17900), ('ECET', 27000), ('ECET', 32300)]",3,9,128,141
"Ringenberg, Tatiana R.",Assistant Professor,Computer Information Tech,"[('CNIT', 62300)]",1,3,21,25
"Rogers, Marcus K.","Associate Dean for Faculty, Professor and Director of Cyber Forensics Lab",Computer Information Tech,"[('CNIT', 62300)]",1,3,7,20
"Ropp, Timothy D.",Clinical Professor,Schl of Aviation & Transp Tech,"[('AT', 49200), ('AT', 49600), ('AT', 49700)]",3,8,54,75
"Rose, Derek M.",Education Officer Air Force ROTC,Aerospace Studies,"[('AFT', 23000), ('AFT', 23000)]",2,2,41,96
"Rose, Nathan T.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 10901), ('AT', 20900), ('AT', 32501)]",3,9,142,148
"Russell, Jeremy D.",Military Science Instructor,Military Science,"[('MSL', 30100), ('MSL', 30100)]",2,8,38,64
"Salam, Abdul",Assistant Professor,Computer Information Tech,"[('CNIT', 58100), ('CNIT', 58100)]",2,6,4,38
"Salem, Tawfiq M.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 10500), ('CNIT', 15501), ('CNIT', 17500)]",3,9,410,468
"Satre, William K.",Professor of Naval Science ,Naval Science,"[('NS', 35000), ('NS', 35000)]",2,6,41,40
"Sayedahmed, Adel E.",Assistant Professor,School of Engineering Tech,"[('ECET', 37600), ('ECET', 47600)]",2,6,60,63
"Schreiber, Zachary",Student,School of Engineering Tech,"[('ECET', 22400)]",1,3,106,106
"Scott, Regena L.",Assistant Professor of Practice,Technology Ldrshp & Innovatn,"[('TLI', 15200), ('TLI', 15200), ('TLI', 30000), ('OLS', 45400), ('OLS', 58300)]",5,13,347,380
"Sealy, Dominique W.",Assistant Professor,School of Engineering Tech,"[('MFET', 34400)]",1,3,77,93
"Seigfried-Spellar, Kathryn C.",Associate Professor,Computer Information Tech,"[('CNIT', 42200), ('CNIT', 42200), ('CNIT', 62300)]",3,9,87,100
"Sheffield, John W.",Professor,School of Engineering Tech,"[('MET', 32000)]",1,3,28,75
"Shinde, Rushali",Student,Computer Graphics Technology,"[('CGT', 14700)]",1,3,60,60
"Sigo, Justin E.",Student,Schl of Aviation & Transp Tech,"[('AT', 47600)]",1,3,46,54
"Smith, Anthony H.",Associate Professor,Computer Information Tech,"[('CNIT', 34600), ('CNIT', 58100)]",2,7,15,48
"Sparkling, Anthony E.",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 37400)]",2,6,158,200
"Springer, John A.",Professor,Computer Information Tech,"[('CNIT', 41500), ('CNIT', 57000)]",2,6,58,60
"Stephens, Matthew P.",Professor,School of Engineering Tech,"[('IET', 31600), ('IET', 33620)]",2,6,73,90
"Stirm, Brian H.",Air Operations Technical Specialist,Schl of Aviation & Transp Tech,"[('AT', 29000)]",1,1,46,50
"Strickland, Paul B.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 41600)]",1,2,54,60
"Strimel, Greg J.",Associate Professor,Purdue Polytechnic Inst Admin,"[('TECH', 34000)]",1,3,32,40
"Strimel, Greg J.",Associate Professor,Technology Ldrshp & Innovatn,"[('TLI', 36100), ('TLI', 46000)]",2,6,2,42
"Suckow, Michael W.",Professor of Practice and Associate Head for Engagement,Schl of Aviation & Transp Tech,"[('AT', 43800), ('AT', 47500), ('AT', 49401), ('AT', 49501)]",4,9,192,212
"Sun, Wenhai",Assistant Professor,Computer Information Tech,"[('CNIT', 37000), ('CNIT', 58100)]",2,6,103,120
"Sundararajan, Rajeswari",Associate Professor,School of Engineering Tech,"[('ECET', 27400), ('ECET', 38001)]",2,6,87,102
"Sutton, Mathias J.",Associate Head for Academic Affairs,School of Engineering Tech,"[('IET', 33400)]",1,3,56,60
"Tanoos, James J.",Clinical Associate Professor,School of Engineering Tech,"[('IET', 34300), ('IET', 44275)]",2,6,58,80
"Tao, Chengcheng",Assistant Professor,Schl of Construction Mgmt Tech,"[('CM', 20001), ('CM', 30001)]",2,12,181,180
"Thom, James M.",Associate Professor,Schl of Aviation & Transp Tech,"[('AT', 26700), ('AT', 38500)]",2,5,82,86
"Torres, Christopher M.",Assistant Professor of Military Science,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Triplett, Daniel P.",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 11200), ('CGT', 11600), ('CGT', 24700)]",3,9,185,203
"Tyagi, Sonali",Student,Computer Information Tech,"[('CNIT', 42200)]",1,3,39,40
"Vhaduri, Sudip",Assistant Professor,Computer Information Tech,"[('CNIT', 27200), ('CNIT', 58100)]",2,6,181,195
"Vian, Wei",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 11100), ('MET', 14400)]",2,6,216,240
"Voyles, Richard M.",Professor,School of Engineering Tech,"[('ECET', 58100), ('ECET', 58100)]",2,1,8,52
"Wallace, Lewie J.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000), ('CM', 35000)]",2,18,126,175
"Wang, Peng Hao",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 26200), ('AT', 27200), ('AT', 30702)]",3,10,151,162
"Wang, Sen",Student,Schl of Aviation & Transp Tech,"[('AT', 10200)]",1,3,141,200
"Wang, Xiaoming",Associate Professor,School of Engineering Tech,"[('MET', 34600), ('MET', 44400), ('MET', 58100)]",3,9,71,110
"Weida, James R.",Lecturer,Schl of Construction Mgmt Tech,"[('CM', 25000)]",1,9,64,85
"White, Kevin C.",Professor of Military Science,Military Science,"[('MSL', 10100), ('MSL', 10100), ('MSL', 10100), ('MSL', 20100), ('MSL', 20100), ('MSL', 30100), ('MSL', 30100), ('MSL', 40100)]",8,24,138,243
"Whittinghill, David M.",Associate Professor,Computer Graphics Technology,"[('CGT', 36500), ('CGT', 36500), ('CGT', 38500), ('CGT', 54500)]",4,12,90,155
"Williams, Rua M.",Assistant Professor,Purdue Polytechnic Inst Admin,"[('TECH', 69700)]",1,3,41,45
"Wollin, Matthew K.",Unk,Technology Ldrshp & Innovatn,"[('TLI', 35560)]",1,3,15,25
"Wyman, Dan A.",Assistant Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 30001), ('CM', 40000), ('CM', 45000)]",4,21,402,430
"Yang, Baijian",Professor,Computer Information Tech,"[('CNIT', 34000), ('CNIT', 62300)]",2,6,209,212
"Yother, Tracy L.",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 36302), ('AT', 52600)]",2,7,39,53
"Zaman, Nasheet",Assistant Professor of Practice,Computer Graphics Technology,"[('CGT', 32101), ('CGT', 32101), ('CGT', 34000), ('CGT', 34000), ('CGT', 44200)]",5,15,158,195
"Zhang, Haiyan H.",Professor,School of Engineering Tech,"[('MET', 31400), ('MET', 48200)]",2,6,58,88
"Zhang, Jiansong",Associate Professor,Schl of Construction Mgmt Tech,"[('CM', 20001), ('CM', 58100)]",2,9,103,113
"Zhu, Yi",Student,Computer Information Tech,"[('CNIT', 17500)]",1,3,44,52
"Ziakkas, Dimitrios",Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 38800), ('AT', 53100), ('AT', 57400)]",3,9,62,105
"Zimpfer, Mark D.",Associate Professor of Practice,Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 37600), ('CM', 45000)]",3,12,252,285
"Ziulkowski, Jonathon D.",Senior Lecturer,Schl of Aviation & Transp Tech,"[('AT', 10300), ('AT', 20200), ('AT', 20200)]",3,9,173,210
"Zuel, Brian C.",Assistant Professor of Practice,Computer Information Tech,"[('CNIT', 47100)]",1,3,18,40
